


#iter	avgavgE	devavgE	maxAvgE	minAvgE	# gossipLearning.controls.observers.errorComputation.ErrorComputator[NumOfVotes]	[HolderIndex]
70	0.49941344734800613	0.023429944731074563	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
71	0.49959622134403225	0.0234761871141882	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
72	0.4997491439997332	0.02354996648250629	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
73	0.5004985697542121	0.023835750661612524	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
74	0.5004865244765374	0.023828944832026633	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
75	0.5006876282429389	0.023909857068557944	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
76	0.5008594043767393	0.023939013992662614	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
77	0.5014182005193173	0.02413316406029164	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
78	0.5020366993425462	0.024330138545092556	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
79	0.5021053050545216	0.02440319213814041	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
80	0.5024719004620234	0.024492384841329585	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
81	0.5027206616314004	0.024584674122705853	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
82	0.5031710502749028	0.02469413383294403	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
83	0.5032873133898537	0.02472160673353165	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
84	0.5033684880872286	0.024756790904481314	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
85	0.5037256567556813	0.024831602554101214	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
86	0.503672762275456	0.024780779885255858	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
87	0.5044803195874102	0.024988501469892534	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
88	0.5043116856999592	0.024951766299687903	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
89	0.5042944033450343	0.024984773933977723	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
90	0.504271360205134	0.024946044313810277	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
91	0.5040482607142825	0.024918383367750138	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
92	0.5051490943522391	0.025066918293365065	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
93	0.5045635891156853	0.024961507293677316	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
94	0.5045295481135607	0.02493829667430008	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
95	0.5047804041138368	0.025011080210917344	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
96	0.5051705663689642	0.02510968509963117	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
97	0.5052035599556391	0.025054126994022763	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
98	0.5062619732678707	0.02522011643426374	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
99	0.5061839408168454	0.025184210686001456	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
100	0.5064499843411464	0.025217327664198107	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
